Country,Cumulative number of case(s)^2,Number of new cases since last WHO update^2,Number of deaths ,Number recovered^3,Date last probable case reported,Date for which cumulative number of cases is current
Australia,6,0,0,6,12/May/2003,12/May/2003
Brazil,2,0,0,2,10/Apr/2003,24/Apr/2003
Bulgaria,1,0,0,0,24/Apr/2003,28/Apr/2003
Canada ,143,0,22,99,4/May/2003,12/May/2003
China,5086,80,262,1765,13/May/2003,13/May/2003
"China, Hong Kong Special Administrative Region^4",1689,6,225,1090,13/May/2003,13/May/2003
"China, Macao Special Administrative Region",1,0,0,0,9/May/2003,12/May/2003
"China, Taiwan ",207,23,24,30,12/May/2003,12/May/2003
Colombia,1,0,0,1,5/May/2003,5/May/2003
Finland,1,0,0,0,7/May/2003,9/May/2003
France,7,0,0,4,9/May/2003,9/May/2003
Germany ,9,0,0,9,9/May/2003,13/May/2003
India,3,2,0,0,13/May/2003,13/May/2003
Indonesia,2,0,0,1,23/Apr/2003,13/May/2003
Italy,9,0,0,9,29/Apr/2003,13/May/2003
Kuwait,1,0,0,1,9/Apr/2003,20/Apr/2003
Malaysia,7,0,2,4,9/May/2003,12/May/2003
Mongolia,9,0,0,6,6/May/2003,9/May/2003
New Zealand,1,0,0,1,30/Apr/2003,13/May/2003
Philippines,10,0,2,3,7/May/2003,11/May/2003
Republic of Ireland,1,0,0,1,21/Mar/2003,12/May/2003
Republic of Korea,2,0,0,1,12/May/2003,13/May/2003
Romania,1,0,0,1,27/Mar/2003,22/Apr/2003
Singapore ,205,0,28,157,9/May/2003,13/May/2003
South Africa,1,0,1,0,9/Apr/2003,3/May/2003
Spain,1,0,0,1,2/Apr/2003,5/May/2003
Sweden,3,0,0,3,18/Apr/2003,23/Apr/2003
Switzerland ,1,0,0,1,17/Mar/2003,9/May/2003
Thailand ,7,0,2,5,12/Apr/2003,13/May/2003
United Kingdom ,4,0,0,4,29/Apr/2003,13/May/2003
United States,64,0,0,35,10/May/2003,12/May/2003
Viet Nam,63,0,5,58,14/Apr/2003,4/May/2003
Total ,7548,111,573,3298,,
