Country,Cumulative number of case(s)^2,Number of new cases since last WHO update^2,Final status/ Number of deaths ,Final status/ Number recovered^3,Local chain(s) of transmission^4,Date of last report
Australia,4,0,0,3,None,28/Apr/2003
Brazil,2,0,0,2,None,24/Apr/2003
Bulgaria,1,0,0,0,None,24/Apr/2003
Canada ,146,4,20,86,Yes,29/Apr/2003
China^5,3303,405,148,1322,Yes,29/Apr/2003
"China, Hong Kong Special Administrative Region^6",1572,15,150,759,Yes,29/Apr/2003
"China, Taiwan ",66,0,0,25,Yes,29/Apr/2003
France,5,0,0,1,None,21/Apr/2003
Germany ,7,0,0,6,None,29/Apr/2003
India,1,0,0,1,None,21/Apr/2003
Indonesia,1,0,0,1,None,23/Apr/2003
Italy,9,1,0,4,None,29/Apr/2003
Japan,2,0,0,0,None,28/Apr/2003
Kuwait,1,0,0,1,None,20/Apr/2003
Malaysia,6,0,2,3,None,29/Apr/2003
Mongolia,5,0,0,3,None,26/Apr/2003
Philippines,4,0,2,1,None,28/Apr/2003
Republic of Ireland,1,0,0,1,None,24/Apr/2003
Republic of Korea,1,1,0,0,None,29/Apr/2003
Romania,1,0,0,1,None,22/Apr/2003
Singapore ,201,2,24,139,Yes,29/Apr/2003
South Africa,1,0,0,0,None,9/Apr/2003
Spain,1,0,0,1,None,24/Apr/2003
Sweden,3,0,0,2,None,23/Apr/2003
Switzerland ,1,0,0,1,None,21/Apr/2003
Thailand ,7,0,2,5,None,29/Apr/2003
United Kingdom ,6,1,0,6,Yes,29/Apr/2003
United States,41,0,0,not available,Yes,25/Apr/2003
Viet Nam,63,0,5,53,None,28/Apr/2003
Total ,5462,429,353,2427,,
