Country ,Cumulative number of case(s) ,Number of new cases since last WHO update ,Final Status ,Local chain(s) of transmission4 ,Date of last report
Number of deaths,Number recovered3
Australia , 3,0,0, 3,None,17 Apr 2003
Brazil , 2,0,0, 0,None,16 Apr 2003
Canada ,132,6,12,54, Yes, 18 Apr 2003
China , 1512,30,65,1140, Yes, 19 Apr 2003
"China, Hong Kong Special Administrative Region 5",1358,31,81,363, Yes, 19 Apr 2003
"China, Taiwan",29,0,0,17, Yes, 18 Apr 2003
France , 5,0,0,1, None, 18 Apr 2003
Germany , 6, 0,0, 4, None, 18 Apr 2003
India, 1,0,0,1, None, 18 Apr 2003
Indonesia, 1,0,0,0, None, 19 Apr 2003
Italy , 3, 0,0,2, None, 18 Apr 2003
Japan, 4,0,0, 0, None, 18 Apr 2003
Kuwait, 1, 0,0, 0, None, 9 Apr 2003
Malaysia , 5, 0,1, 0, None, 16 Apr 2003
Mongolia, 3, 0,0,3, None, 17 Apr 2003
Philippines, 1, 0,0, 1, None, 14 Apr 2003
Republic of Ireland , 1, 0,0, 1, None, 18 Apr 2003
Romania , 1, 0,0, 1, None, 18 Apr 2003
Singapore ,177,5,16,100, Yes, 18 Apr 2003
South Africa,1,0,0,0,None,9 Apr 2003
Spain , 1, 0,0, 0, None, 18 Apr 2003
Sweden,3,2,0, 0, None, 19 Apr 2003
Switzerland , 1, 0,0, 1, None, 18 Apr 2003
Thailand , 7,0,2, 6, None,18 Apr 2003
United Kingdom , 6,0,0, 5, Yes, 19 Apr 2003
United States ,220,12,0, not available,Yes,18 Apr 2003
Viet Nam , 63, 0,5, 46, Yes, 17 Apr 2003
Total ,3547,86,182,1749, , 
